"Polynomial Degree","RMSE Error"
3,4.44089209850063E-16
4,2.22044604925031E-16
5,0.01279008368594656
6,3.6821932062951477e-16
7,0.011079169358857858
8,0.014564776324219044
9,0.009704628952698987
10,0.010218848988954398
11,0.00846911588050547
12,0.008234205782725495
13,0.007458600429651157
14,0.007107723587720118
15,0.006643844870656428
16,0.006317216071625989
17,0.005980974967050817
18,0.005700907048169872
19,0.005434048578640421
20,0.005197169802294308
21,0.004976362290520969
22,0.00477517517995988
23,0.00458835279270963
24,0.004415967311104916
25,0.004255576307607481
26,0.004106460151880841
27,0.003967220195499373
28,0.0038370672200413276
29,0.00371506642407201
30,0.003600530705902015
31,0.0034927754931968727
32,0.003391236910151358
33,0.0032953881983854884
34,0.0032047730236718446
35,0.003118974618260275
36,0.003037623245298632
37,0.002960383291238795
38,0.0028869532537546426
39,0.00281705938148856
40,0.002750453837155345
41,0.0026869109989799108
42,0.002626225464028157
43,0.0025682096036522555
44,0.0025126918348687623
45,0.002459514868297673
46,0.002408534306021769
47,0.002359617325984594
48,0.002312641566597941
49,0.002267494111884654
50,0.002224070606731714
51,0.0021822744606306405
52,0.002142016143358625
53,0.0021032125526591534
54,0.0020657864501686524
55,0.0020296659544656727
56,0.0019947840862392175
57,0.0019610783585112448
58,0.0019284904073665835
59,0.0018969656582830269
60,0.0018664530243277242
61,0.0018369046326216596
62,0.0018082755761076232
63,0.0017805236879011128
64,0.0017536093358911926
65,0.0017274952354970063
66,0.001702146278744945
67,0.0016775293780315597
68,0.0016536133231267384
69,0.0016303686501271978
70,0.001607767521214721
71,0.001585783614196423
72,0.0015643920209115053
73,0.001543569153687977
74,0.0015232926591160294
75,0.0015035413384792218
76,0.0014842950742539821
77,0.0014655347621436974
78,0.0014472422481687942
79,0.0014294002703796982
80,0.0014119924048024285
81,0.0013950030152614936
82,0.0013784172067621667
83,0.001362220782138881
84,0.0013464002017088488
85,0.001330942545688267
86,0.0013158354791554256
87,0.0013010672193607047
88,0.0012866265052022356
89,0.0012725025687026234
90,0.0012586851083347872
91,0.0012451642640588776
92,0.0012319305939439509
93,0.0012189750522583196
94,0.001206288968921585
95,0.0011938640302220304
96,0.0011816922607074845
97,0.0011697660061697405
98,0.0011580779176438396
99,0.0011466209363540886
100,0.0011353882795417712
101,0.0011243734271139546
102,0.0011135701090602703
103,0.0011029722935846941
104,0.0010925741759071563
105,0.0010823701676899978
106,0.0010723548870497873
107,0.0010625231491166918
108,0.0010528699571069906
109,0.0010433904938762018
110,0.0010340801139230476
111,0.0010249343358166697
112,0.001015948835021106
113,0.0010071194370922553
114,0.0009984421112263833
115,0.000989912964137766
116,0.0009815282342469308
117,0.00097328428616091
118,0.0009651776054286754
119,0.0009572047935557252
120,0.0009493625632634036
121,0.000941647733978558
122,0.0009340572275407962
123,0.0009265880641153865
124,0.0009192373583000816
125,0.0009120023154157576
126,0.0009048802279696188
127,0.0008978684722835639
128,0.0008909645052769902
129,0.0008841658613967369
130,0.0008774701496865955
131,0.0008708750509881733
132,0.0008643783152671226
133,0.0008579777590580115
134,0.0008516712630212166
135,0.0008454567696070422
136,0.0008393322808209776
137,0.0008332958560852367
138,0.0008273456101915951
139,0.000821479711341417
140,0.0008156963792682666
141,0.0008099938834390042
142,0.0008043705413294937
143,0.0007988247167722844
144,0.0007933548183711241
145,0.0007879592979807074
146,0.0007826366492476312
147,0.0007773854062102089
148,0.0007722041419539438
149,0.0007670914673205225
150,0.0007620460296675872
151,0.000757066511677087
152,0.0007521516302100695
153,0.0007473001352055092
154,0.0007425108086216236
155,0.0007377824634174897
156,0.0007331139425732911
157,0.0007285041181474601
158,0.000723951890369093
159,0.0007194561867642885
160,0.0007150159613146869
161,0.0007106301936467602
162,0.0007062978882510768
163,0.0007020180737295963
164,0.0006977898020704258
165,0.0006936121479483508
166,0.0006894842080503178
167,0.0006854051004250297
168,0.000681373963855362
169,0.0006773899572526433
170,0.0006734522590722142
171,0.0006695600667492286
172,0.0006657125961537416
173,0.0006619090810644883
174,0.0006581487726608198
175,0.0006544309390314355
176,0.0006507548646999573
177,0.0006471198501664311
178,0.0006435252114637052
179,0.0006399702797289283
180,0.0006364544007889734
181,0.0006329769347593516
182,0.0006295372556563519
183,0.0006261347510218248
184,0.0006227688215595753
185,0.0006194388807840588
186,0.0006161443546797953
187,0.0006128846813717948
188,0.0006096593108064503
189,0.0006064677044421089
190,0.0006033093349497316
191,0.0006001836859225529
192,0.0005970902515948667
193,0.0005940285365691797
194,0.000590998055552312
195,0.0005879983330987675
196,0.0005850289033624854
197,0.0005820893098556356
198,0.0005791791052150443
199,0.0005762978509752377
200,0.0005734451173483666
201,0.0005706204830107057
202,0.0005678235348953002
203,0.0005650538679906438
204,0.0005623110851454274
205,0.0005595947968788221
206,0.0005569046211960177
207,0.0005542401834094171
208,0.0005516011159647774
209,0.0005489870582721702
210,0.0005463976565420101
211,0.0005438325636252787
212,0.0005412914388586877
213,0.0005387739479138611
214,0.0005362797626507924
215,0.0005338085609752418
216,0.0005313600267003195
217,0.0005289338494117297
218,0.0005265297243362772
219,0.000524147352214842
220,0.0005217864391778468
221,0.0005194466966246699
222,0.0005171278411061627
223,0.0005148295942099533
224,0.0005125516824494122
225,0.0005102938371550735
226,0.0005080557943689778
227,0.0005058372947418709
228,0.0005036380834332394
229,0.0005014579100136164
230,0.0004992965283695757
231,0.0004971536966111379
232,0.000495029176981676
233,0.0004929227357700524
234,0.0004908341432246228
235,0.0004887631734701167
236,0.00048670960442609586
237,0.0004846732177276171
238,0.0004826537986478059
239,0.0004806511360224326
240,0.0004786650221764762
241,0.0004766952528521593
242,0.00047474162713905595
243,0.0004728039474058185
244,0.00047088201923357095
245,0.0004689756513508128
246,0.0004670846555700721
247,0.0004652088467260281
248,0.0004633480426149804
249,0.0004615020639360414
250,0.0004596707342334257
251,0.000457853879840295
252,0.00045605132982387504
253,0.0004542629159318788
254,0.00045248847254015877
255,0.00045072783660164055
256,0.00044898084759634253
257,0.00044724734748264
258,0.0004455271806495859
259,0.0004438201938704221
260,0.0004421262362570347
261,0.0004404451592155968
262,0.00043877681640301045
263,0.0004371210636846359
264,0.00043547775909257453
265,0.00043384676278514597
